,Symbol,Security,GICS Sector,GICS Sub Industry,CIK
276,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,1506307
277,KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,319201
278,KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,885639
279,KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,1637459
280,KR,Kroger Co.,Consumer Staples,Food Retail,56873
281,LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,701985
282,LHX,L3Harris Technologies,Industrials,Aerospace & Defense,202058
283,LH,Laboratory Corp. of America Holding,Health Care,Health Care Services,920148
284,LRCX,Lam Research,Information Technology,Semiconductor Equipment,707549
285,LW,Lamb Weston Holdings Inc,Consumer Staples,Packaged Foods & Meats,1679273
286,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,1300514
287,LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,58492
288,LDOS,Leidos Holdings,Information Technology,IT Consulting & Other Services,1336920
289,LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,920760
290,LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,59478
291,LNC,Lincoln National,Financials,Multi-line Insurance,59558
292,LIN,Linde plc,Materials,Industrial Gases,1707925
293,LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,1335258
294,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,1065696
295,LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,936468
296,L,Loews Corp.,Financials,Multi-line Insurance,60086
297,LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,60667
298,LYB,LyondellBasell,Materials,Specialty Chemicals,1489393
299,MTB,M&T Bank Corp.,Financials,Regional Banks,36270
300,MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,101778
301,MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,1510295
302,MKTX,MarketAxess,Financials,Financial Exchanges & Data,1278021
